date,app,placement,geo,device,ad_format,demand_partner,ad_requests,responses,wins,impressions,clicks,conversions,revenue,latency_ms
2026-01-01 00:46:08.311366227,App_Alpha,Interstitial_01,CA,Android,Banner,Partner_B,7165,6931,4336,3955,314,21,18.83,458.0
2026-01-01 00:48:42.106442128,App_Delta,Interstitial_02,IN,Android,Rewarded,Partner_E,3453,2322,1358,1286,33,2,3.09,355.0
2026-01-01 00:51:15.901518030,App_Beta,Interstitial_02,CA,iOS,Interstitial,Partner_D,8546,7935,4404,3955,153,9,6.17,354.0
2026-01-01 00:53:49.696593931,App_Epsilon,Interstitial_02,CA,Android,Interstitial,Partner_A,3247,3112,1182,1126,24,3,4.89,242.0
2026-01-01 00:56:23.491669833,App_Delta,Banner_01,UK,Android,Rewarded,Partner_D,7040,5906,3102,3001,143,4,12.62,700.0
2026-01-01 00:58:57.286745734,App_Alpha,Interstitial_02,BR,Android,Interstitial,Partner_D,7741,6908,4255,3947,138,5,7.5,726.0
2026-01-01 01:01:31.081821636,App_Alpha,Rewarded_01,DE,Android,Rewarded,Partner_D,3051,2045,375,349,3,0,1.23,143.0
2026-01-01 01:04:04.876897537,App_Gamma,Video_01,BR,iOS,Interstitial,Partner_D,5257,4212,1375,1285,15,1,3.58,495.0
2026-01-01 01:06:38.671973439,App_Gamma,Banner_02,US,Android,Rewarded,Partner_E,4252,3478,1412,1196,89,12,1.49,228.0
2026-01-01 01:09:12.467049340,App_Beta,Banner_02,US,iOS,Interstitial,Partner_C,9706,8981,2560,2400,130,14,7.51,228.0
2026-01-01 01:11:46.262125242,App_Delta,Video_01,CA,iOS,Rewarded,Partner_C,3455,3314,691,650,15,1,1.59,517.0
2026-01-01 01:14:20.057201144,App_Delta,Interstitial_01,CA,Android,Banner,Partner_B,4312,3104,1409,1196,16,1,3.22,571.0
2026-01-01 01:16:53.852277045,App_Gamma,Interstitial_02,IN,iOS,Rewarded,Partner_E,4545,3910,2296,2064,144,11,6.81,257.0
2026-01-01 01:19:27.647352947,App_Delta,Banner_02,UK,iOS,Video,Partner_E,2154,1701,336,317,3,0,0.38,295.0
2026-01-01 01:22:01.442428848,App_Delta,Banner_02,DE,iOS,Rewarded,Partner_D,7685,6343,4024,3814,38,5,6.86,620.0
2026-01-01 01:24:35.237504750,App_Alpha,Rewarded_01,US,Android,Interstitial,Partner_C,8667,6131,1091,1032,14,2,0.75,461.0
2026-01-01 01:27:09.032580651,App_Gamma,Rewarded_01,UK,Android,Video,Partner_C,9844,7837,3158,3081,229,29,9.52,399.0
2026-01-01 01:29:42.827656553,App_Epsilon,Banner_01,DE,iOS,Banner,Partner_E,6353,5188,1285,1082,84,3,4.8,100.0
2026-01-01 01:32:16.622732454,App_Gamma,Video_01,IN,iOS,Banner,Partner_A,7808,5575,1204,1138,37,4,1.13,743.0
2026-01-01 01:34:50.417808356,App_Epsilon,Banner_01,UK,Android,Interstitial,Partner_E,7001,6028,3431,2870,103,4,9.02,778.0
2026-01-01 01:37:24.212884257,App_Alpha,Banner_02,BR,Android,Video,Partner_D,8780,8303,3633,3264,140,17,12.03,684.0
2026-01-01 01:39:58.007960159,App_Beta,Interstitial_01,CA,Android,Interstitial,Partner_D,7824,5666,2533,2471,133,4,3.88,741.0
2026-01-01 01:42:31.803036060,App_Delta,Banner_02,CA,iOS,Video,Partner_D,954,873,205,189,2,0,0.19,520.0
2026-01-01 01:45:05.598111962,App_Alpha,Interstitial_01,DE,iOS,Rewarded,Partner_A,7263,6208,1727,1549,25,2,0.87,281.0
2026-01-01 01:47:39.393187863,App_Delta,Banner_02,BR,iOS,Interstitial,Partner_B,4667,3958,2316,1907,133,11,7.7,544.0
2026-01-01 01:50:13.188263765,App_Beta,Rewarded_01,CA,Android,Video,Partner_A,3164,2987,1536,1296,71,3,4.55,751.0
2026-01-01 01:52:46.983339666,App_Beta,Interstitial_02,BR,Android,Banner,Partner_D,6962,5700,1192,1061,15,1,3.43,573.0
2026-01-01 01:55:20.778415568,App_Alpha,Banner_02,CA,iOS,Rewarded,Partner_C,6687,4484,689,605,7,0,1.85,527.0
2026-01-01 01:57:54.573491469,App_Beta,Banner_01,DE,Android,Video,Partner_E,4841,4276,1439,1241,42,4,4.98,417.0
2026-01-01 02:00:28.368567371,App_Epsilon,Interstitial_01,BR,iOS,Banner,Partner_D,3226,2852,1464,1338,47,3,1.44,110.0
2026-01-01 02:03:02.163643272,App_Beta,Interstitial_01,DE,iOS,Banner,Partner_C,3265,2816,1078,984,7,0,0.57,411.0
2026-01-01 02:05:35.958719174,App_Delta,Banner_02,BR,iOS,Rewarded,Partner_A,8025,6142,2307,2273,137,13,2.38,186.0
2026-01-01 02:08:09.753795075,App_Delta,Interstitial_01,IN,iOS,Rewarded,Partner_A,3448,2389,679,565,19,2,1.62,185.0
2026-01-01 02:10:43.548870977,App_Delta,Banner_01,IN,Android,Video,Partner_C,2492,2319,1355,1126,69,4,2.72,504.0
2026-01-01 02:13:17.343946878,App_Delta,Rewarded_01,UK,iOS,Interstitial,Partner_D,5717,4874,1194,1175,28,2,3.34,571.0
2026-01-01 02:15:51.139022780,App_Epsilon,Interstitial_02,BR,Android,Video,Partner_A,9704,9052,4056,3285,16,2,13.24,731.0
2026-01-01 02:18:24.934098681,App_Gamma,Interstitial_02,IN,iOS,Banner,Partner_A,6465,4356,2169,1963,110,7,1.94,745.0
2026-01-01 02:20:58.729174583,App_Alpha,Interstitial_01,IN,iOS,Banner,Partner_C,5379,4347,890,780,60,6,1.37,713.0
2026-01-01 02:23:32.524250485,App_Delta,Banner_02,IN,iOS,Banner,Partner_B,1369,948,202,165,12,0,0.37,160.0
2026-01-01 02:26:06.319326386,App_Beta,Interstitial_01,US,iOS,Video,Partner_B,3754,2941,536,515,35,4,2.43,617.0
2026-01-01 02:28:40.114402288,App_Delta,Banner_01,BR,iOS,Rewarded,Partner_E,7256,5890,1675,1655,103,6,8.1,740.0
2026-01-01 02:31:13.909478189,App_Beta,Video_01,UK,iOS,Banner,Partner_D,5361,4184,2533,2425,107,15,2.24,461.0
2026-01-01 02:33:47.704554091,App_Beta,Banner_02,IN,Android,Video,Partner_A,7275,6606,2344,2223,36,0,7.09,354.0
2026-01-01 02:36:21.499629992,App_Delta,Rewarded_01,DE,Android,Rewarded,Partner_A,9351,7500,1264,1238,22,2,4.64,531.0
2026-01-01 02:38:55.294705894,App_Epsilon,Banner_01,US,Android,Interstitial,Partner_C,4409,2985,1510,1433,10,1,0.87,759.0
2026-01-01 02:41:29.089781795,App_Beta,Rewarded_01,BR,iOS,Rewarded,Partner_A,6851,6408,2736,2236,30,0,7.24,451.0
2026-01-01 02:44:02.884857697,App_Beta,Banner_02,CA,iOS,Banner,Partner_E,1765,1265,372,303,3,0,0.84,102.0
2026-01-01 02:46:36.679933598,App_Delta,Rewarded_01,UK,Android,Banner,Partner_C,7413,6319,1325,1072,61,3,1.91,366.0
2026-01-01 02:49:10.475009500,App_Beta,Banner_01,IN,iOS,Interstitial,Partner_B,4569,3165,534,519,21,1,2.17,580.0
2026-01-01 02:51:44.270085401,App_Beta,Banner_01,DE,iOS,Video,Partner_D,4220,3490,552,475,32,4,0.76,158.0
2026-01-01 02:54:18.065161303,App_Delta,Interstitial_01,US,iOS,Video,Partner_E,6067,4183,1141,944,5,0,3.27,393.0
2026-01-01 02:56:51.860237204,App_Delta,Video_01,DE,Android,Video,Partner_A,5730,4935,2818,2687,91,8,12.13,769.0
2026-01-01 02:59:25.655313106,App_Alpha,Banner_02,DE,iOS,Rewarded,Partner_D,2205,2040,995,974,7,0,2.33,529.0
2026-01-01 03:01:59.450389007,App_Epsilon,Interstitial_02,US,iOS,Video,Partner_C,897,875,306,296,14,2,0.9,621.0
2026-01-01 03:04:33.245464909,App_Epsilon,Video_01,DE,iOS,Banner,Partner_E,823,569,227,205,2,0,1.0,262.0
2026-01-01 03:07:07.040540810,App_Beta,Interstitial_02,IN,iOS,Video,Partner_B,2828,2251,641,543,32,2,0.93,216.0
2026-01-01 03:09:40.835616712,App_Epsilon,Rewarded_01,US,iOS,Video,Partner_B,2710,2213,1173,1155,58,2,0.66,632.0
2026-01-01 03:12:14.630692613,App_Beta,Interstitial_02,BR,Android,Banner,Partner_C,9641,9032,5000,4384,157,6,3.59,718.0
2026-01-01 03:14:48.425768515,App_Alpha,Interstitial_02,US,iOS,Video,Partner_C,1019,966,367,339,4,0,0.71,356.0
2026-01-01 03:17:22.220844416,App_Delta,Banner_01,CA,iOS,Interstitial,Partner_A,804,574,176,150,10,0,0.44,519.0
2026-01-01 03:19:56.015920318,App_Delta,Banner_01,UK,Android,Rewarded,Partner_A,9742,6569,1610,1541,114,12,7.32,485.0
2026-01-01 03:22:29.810996219,App_Delta,Banner_01,CA,iOS,Video,Partner_C,1741,1535,665,635,19,2,0.23,202.0
2026-01-01 03:25:03.606072121,App_Epsilon,Interstitial_02,CA,iOS,Banner,Partner_D,8029,7810,1659,1366,71,8,3.3,631.0
2026-01-01 03:27:37.401148022,App_Alpha,Rewarded_01,IN,Android,Interstitial,Partner_C,1846,1364,865,828,42,4,1.47,379.0
2026-01-01 03:30:11.196223924,App_Epsilon,Banner_02,BR,iOS,Rewarded,Partner_C,736,554,197,161,9,0,0.08,270.0
2026-01-01 03:32:44.991299825,App_Epsilon,Interstitial_01,CA,Android,Rewarded,Partner_B,6550,6067,2374,2096,149,16,5.21,659.0
2026-01-01 03:35:18.786375727,App_Alpha,Rewarded_01,IN,iOS,Video,Partner_D,9378,9032,3846,3360,127,7,16.19,247.0
2026-01-01 03:37:52.581451629,App_Alpha,Banner_01,IN,Android,Banner,Partner_B,4828,3403,2013,1823,128,8,4.65,721.0
2026-01-01 03:40:26.376527530,App_Alpha,Rewarded_01,US,iOS,Video,Partner_D,6647,5738,2845,2770,54,3,9.15,499.0
2026-01-01 03:43:00.171603432,App_Alpha,Banner_02,CA,Android,Rewarded,Partner_C,1036,809,432,378,15,0,1.2,455.0
2026-01-01 03:45:33.966679333,App_Delta,Video_01,BR,Android,Rewarded,Partner_E,4656,4148,2441,2337,67,8,11.63,751.0
2026-01-01 03:48:07.761755235,App_Gamma,Banner_01,US,iOS,Banner,Partner_B,3235,2224,1285,1180,41,3,3.1,310.0
2026-01-01 03:50:41.556831136,App_Gamma,Banner_02,UK,Android,Rewarded,Partner_C,7100,5826,2584,2398,38,1,4.54,305.0
2026-01-01 03:53:15.351907038,App_Alpha,Video_01,UK,Android,Interstitial,Partner_A,3986,2996,911,894,19,0,2.88,156.0
2026-01-01 03:55:49.146982939,App_Gamma,Interstitial_01,UK,iOS,Banner,Partner_D,7116,4812,1014,884,33,3,1.42,171.0
2026-01-01 03:58:22.942058841,App_Gamma,Rewarded_01,US,iOS,Video,Partner_E,1875,1226,457,373,18,1,0.47,371.0
2026-01-01 04:00:56.737134742,App_Alpha,Interstitial_01,US,iOS,Rewarded,Partner_C,1235,818,507,416,18,1,1.1,253.0
2026-01-01 04:03:30.532210644,App_Gamma,Interstitial_02,UK,Android,Banner,Partner_B,647,545,344,325,3,0,0.35,483.0
2026-01-01 04:06:04.327286545,App_Epsilon,Rewarded_01,US,iOS,Video,Partner_D,666,546,237,195,13,0,0.14,527.0
2026-01-01 04:08:38.122362447,App_Beta,Video_01,DE,Android,Video,Partner_A,674,624,333,328,13,1,0.7,130.0
2026-01-01 04:11:11.917438348,App_Beta,Interstitial_02,DE,Android,Banner,Partner_A,8586,7220,1702,1658,30,4,5.31,365.0
2026-01-01 04:13:45.712514250,App_Alpha,Banner_02,DE,Android,Video,Partner_A,1339,943,156,153,7,1,0.17,382.0
2026-01-01 04:16:19.507590151,App_Delta,Interstitial_02,IN,Android,Rewarded,Partner_E,9146,6182,3492,2805,160,5,2.68,208.0
2026-01-01 04:18:53.302666053,App_Alpha,Video_01,BR,iOS,Video,Partner_A,1699,1136,537,435,13,0,0.29,613.0
2026-01-01 04:21:27.097741954,App_Delta,Video_01,CA,iOS,Video,Partner_C,4165,2955,959,934,60,8,2.76,499.0
2026-01-01 04:24:00.892817856,App_Beta,Banner_02,BR,iOS,Rewarded,Partner_B,7482,6504,3097,2898,160,2,14.02,235.0
2026-01-01 04:26:34.687893757,App_Alpha,Interstitial_01,BR,iOS,Video,Partner_A,2645,1874,1213,1073,81,12,3.89,398.0
2026-01-01 04:29:08.482969659,App_Epsilon,Banner_01,UK,iOS,Interstitial,Partner_A,5158,4991,1305,1085,40,4,2.52,97.0
2026-01-01 04:31:42.278045560,App_Gamma,Interstitial_01,DE,iOS,Video,Partner_C,7414,4840,1017,959,7,0,2.91,460.0
2026-01-01 04:34:16.073121462,App_Delta,Interstitial_02,CA,Android,Banner,Partner_A,2386,2282,863,786,37,1,3.61,470.0
2026-01-01 04:36:49.868197363,App_Gamma,Banner_02,DE,iOS,Video,Partner_A,3552,3407,644,523,38,3,1.3,353.0
2026-01-01 04:39:23.663273265,App_Gamma,Interstitial_02,US,iOS,Interstitial,Partner_C,4321,4091,1855,1677,42,5,4.82,541.0
2026-01-01 04:41:57.458349166,App_Alpha,Video_01,IN,Android,Interstitial,Partner_B,7373,5561,2105,1789,66,7,3.33,706.0
2026-01-01 04:44:31.253425068,App_Gamma,Banner_01,IN,iOS,Rewarded,Partner_B,637,496,280,240,18,1,1.07,617.0
2026-01-01 04:47:05.048500970,App_Epsilon,Rewarded_01,DE,Android,Banner,Partner_B,1165,824,285,238,16,2,0.73,254.0
2026-01-01 04:49:38.843576871,App_Gamma,Rewarded_01,US,Android,Rewarded,Partner_C,2614,2379,1520,1499,84,7,2.93,381.0
2026-01-01 04:52:12.638652773,App_Alpha,Rewarded_01,DE,Android,Video,Partner_E,2978,2384,630,556,13,1,1.24,198.0
2026-01-01 04:54:46.433728674,App_Epsilon,Interstitial_02,UK,Android,Banner,Partner_B,8632,6759,3470,3279,252,20,7.0,530.0
2026-01-01 04:57:20.228804576,App_Beta,Rewarded_01,UK,Android,Banner,Partner_A,2602,2290,1135,992,35,5,3.42,359.0
2026-01-01 04:59:54.023880477,App_Gamma,Banner_02,BR,iOS,Banner,Partner_C,2012,1575,426,360,2,0,0.37,502.0
2026-01-01 05:02:27.818956379,App_Alpha,Banner_01,CA,iOS,Video,Partner_B,6124,4419,1800,1636,128,13,2.62,732.0
2026-01-01 05:05:01.614032280,App_Beta,Video_01,CA,iOS,Interstitial,Partner_E,6197,5246,2534,2359,125,8,4.85,599.0
2026-01-01 05:07:35.409108182,App_Beta,Interstitial_01,CA,Android,Video,Partner_E,3033,2700,840,718,43,0,0.43,106.0
2026-01-01 05:10:09.204184083,App_Delta,Video_01,BR,Android,Interstitial,Partner_C,628,574,243,227,6,0,0.54,431.0
2026-01-01 05:12:42.999259985,App_Epsilon,Banner_02,DE,Android,Banner,Partner_A,6958,6777,2789,2241,76,8,2.68,754.0
2026-01-01 05:15:16.794335886,App_Gamma,Banner_01,BR,Android,Video,Partner_C,9838,6468,1374,1182,58,7,2.46,753.0
2026-01-01 05:17:50.589411788,App_Alpha,Interstitial_01,DE,Android,Rewarded,Partner_C,1698,1171,491,399,19,1,0.94,186.0
2026-01-01 05:20:24.384487689,App_Delta,Rewarded_01,IN,Android,Banner,Partner_C,1870,1480,361,328,22,0,0.2,339.0
2026-01-01 05:22:58.179563591,App_Epsilon,Interstitial_01,UK,Android,Video,Partner_D,1193,904,349,342,22,0,1.59,357.0
2026-01-01 05:25:31.974639492,App_Delta,Interstitial_02,US,iOS,Video,Partner_B,1805,1395,800,702,44,2,1.93,719.0
2026-01-01 05:28:05.769715394,App_Epsilon,Interstitial_02,US,Android,Rewarded,Partner_C,1560,1179,318,312,6,0,0.59,292.0
2026-01-01 05:30:39.564791295,App_Epsilon,Rewarded_01,IN,Android,Interstitial,Partner_D,5843,5622,1743,1576,27,3,3.53,463.0
2026-01-01 05:33:13.359867197,App_Gamma,Rewarded_01,CA,Android,Banner,Partner_E,2212,2003,518,475,36,4,2.12,491.0
2026-01-01 05:35:47.154943098,App_Epsilon,Banner_02,DE,Android,Video,Partner_E,8165,6944,3018,2626,61,6,10.66,361.0
2026-01-01 05:38:20.950019000,App_Delta,Banner_02,CA,iOS,Banner,Partner_C,9139,7111,3904,3366,111,15,5.16,267.0
2026-01-01 05:40:54.745094901,App_Epsilon,Video_01,UK,iOS,Interstitial,Partner_B,7415,7208,3004,2517,45,3,5.62,286.0
2026-01-01 05:43:28.540170803,App_Gamma,Interstitial_02,DE,iOS,Video,Partner_D,6500,5219,3210,2608,29,2,8.23,267.0
2026-01-01 05:46:02.335246704,App_Gamma,Banner_01,DE,iOS,Interstitial,Partner_B,7384,6843,1106,1022,69,4,4.59,654.0
2026-01-01 05:48:36.130322606,App_Delta,Banner_02,IN,Android,Banner,Partner_A,9640,9252,3440,3266,200,9,8.85,577.0
2026-01-01 05:51:09.925398507,App_Beta,Banner_01,IN,Android,Banner,Partner_C,7972,7383,3088,3012,238,6,3.97,353.0
2026-01-01 05:53:43.720474409,App_Beta,Video_01,BR,Android,Video,Partner_D,9811,8891,1906,1769,120,1,2.87,82.0
2026-01-01 05:56:17.515550311,App_Epsilon,Interstitial_02,IN,iOS,Video,Partner_B,5452,4744,1523,1244,20,2,3.37,595.0
2026-01-01 05:58:51.310626212,App_Alpha,Banner_02,BR,Android,Banner,Partner_E,4537,3669,2032,1939,119,1,4.56,700.0
2026-01-01 06:01:25.105702114,App_Epsilon,Banner_01,CA,Android,Video,Partner_C,6654,4837,2742,2559,200,18,2.69,671.0
2026-01-01 06:03:58.900778015,App_Delta,Video_01,CA,Android,Interstitial,Partner_B,2858,2529,1622,1418,37,4,4.59,709.0
2026-01-01 06:06:32.695853917,App_Delta,Banner_01,US,Android,Banner,Partner_C,3498,3195,1722,1412,82,3,4.58,683.0
2026-01-01 06:09:06.490929818,App_Delta,Banner_02,BR,iOS,Interstitial,Partner_C,9491,7012,2610,2499,74,3,4.09,351.0
2026-01-01 06:11:40.286005720,App_Delta,Rewarded_01,BR,Android,Interstitial,Partner_C,2086,1894,705,673,11,1,1.71,455.0
2026-01-01 06:14:14.081081621,App_Delta,Video_01,CA,Android,Video,Partner_D,2612,1740,548,490,17,1,0.48,558.0
2026-01-01 06:16:47.876157523,App_Gamma,Video_01,US,iOS,Interstitial,Partner_A,7023,4656,1714,1543,118,7,3.97,157.0
2026-01-01 06:19:21.671233424,App_Beta,Interstitial_01,UK,Android,Rewarded,Partner_E,6300,4439,831,682,31,2,2.69,205.0
2026-01-01 06:21:55.466309326,App_Delta,Rewarded_01,DE,iOS,Banner,Partner_E,4485,3956,1204,1112,71,9,5.09,749.0
2026-01-01 06:24:29.261385227,App_Alpha,Video_01,CA,Android,Rewarded,Partner_B,2756,2004,578,556,42,1,1.66,312.0
2026-01-01 06:27:03.056461129,App_Alpha,Interstitial_01,DE,Android,Interstitial,Partner_A,7266,6247,3441,3093,80,5,2.72,170.0
2026-01-01 06:29:36.851537030,App_Alpha,Banner_01,IN,Android,Interstitial,Partner_A,629,496,253,232,17,1,0.43,725.0
2026-01-01 06:32:10.646612932,App_Alpha,Banner_02,IN,Android,Rewarded,Partner_E,9006,6466,3195,2828,95,12,13.02,175.0
2026-01-01 06:34:44.441688833,App_Gamma,Video_01,UK,iOS,Video,Partner_E,2540,2188,1416,1133,71,1,2.74,737.0
2026-01-01 06:37:18.236764735,App_Alpha,Interstitial_02,IN,Android,Interstitial,Partner_C,3751,3057,970,905,38,2,0.34,585.0
2026-01-01 06:39:52.031840636,App_Delta,Banner_02,DE,Android,Interstitial,Partner_A,8185,6384,3008,2648,184,10,9.94,372.0
2026-01-01 06:42:25.826916538,App_Epsilon,Rewarded_01,CA,Android,Interstitial,Partner_C,7226,6902,3557,2877,213,12,6.32,128.0
2026-01-01 06:44:59.621992439,App_Alpha,Interstitial_01,CA,Android,Video,Partner_B,6689,6041,3759,3027,81,12,13.42,358.0
2026-01-01 06:47:33.417068341,App_Gamma,Banner_02,BR,Android,Interstitial,Partner_A,4897,3309,1343,1141,75,4,5.23,437.0
2026-01-01 06:50:07.212144242,App_Gamma,Interstitial_01,BR,Android,Interstitial,Partner_E,3087,2998,886,830,56,3,1.07,112.0
2026-01-01 06:52:41.007220144,App_Alpha,Rewarded_01,IN,iOS,Video,Partner_C,4757,4202,659,609,45,3,1.27,517.0
2026-01-01 06:55:14.802296045,App_Epsilon,Rewarded_01,DE,iOS,Rewarded,Partner_E,6046,4191,1208,1022,78,11,1.1,316.0
2026-01-01 06:57:48.597371947,App_Alpha,Banner_02,CA,iOS,Banner,Partner_C,1421,1102,698,663,47,2,1.57,168.0
2026-01-01 07:00:22.392447848,App_Gamma,Video_01,US,iOS,Video,Partner_B,5757,5522,3571,3490,81,6,16.5,639.0
2026-01-01 07:02:56.187523750,App_Beta,Interstitial_02,US,iOS,Banner,Partner_C,4224,3147,489,440,22,1,0.87,126.0
2026-01-01 07:05:29.982599651,App_Delta,Video_01,CA,Android,Rewarded,Partner_A,5275,4133,1461,1279,67,6,5.11,750.0
2026-01-01 07:08:03.777675553,App_Gamma,Interstitial_02,CA,iOS,Rewarded,Partner_B,7687,7450,4564,4282,72,4,21.05,134.0
2026-01-01 07:10:37.572751455,App_Alpha,Interstitial_01,CA,iOS,Interstitial,Partner_C,8972,7602,3026,2477,36,1,6.03,649.0
2026-01-01 07:13:11.367827356,App_Delta,Banner_02,BR,Android,Interstitial,Partner_B,7780,5806,2355,2035,71,1,1.36,659.0
2026-01-01 07:15:45.162903258,App_Alpha,Banner_01,DE,iOS,Banner,Partner_D,2881,2813,950,764,29,3,0.65,666.0
2026-01-01 07:18:18.957979159,App_Alpha,Rewarded_01,CA,iOS,Rewarded,Partner_A,1611,1244,546,518,20,2,0.89,603.0
2026-01-01 07:20:52.753055061,App_Beta,Video_01,BR,Android,Video,Partner_D,7275,5869,2742,2341,42,2,9.15,520.0
2026-01-01 07:23:26.548130962,App_Delta,Interstitial_01,DE,Android,Video,Partner_E,6828,5190,1690,1598,8,0,6.47,139.0
2026-01-01 07:26:00.343206864,App_Delta,Rewarded_01,CA,iOS,Video,Partner_D,7397,5984,3690,3027,155,4,2.98,628.0
2026-01-01 07:28:34.138282765,App_Beta,Interstitial_01,US,Android,Rewarded,Partner_E,2320,1979,1251,1231,95,1,2.47,310.0
2026-01-01 07:31:07.933358667,App_Gamma,Banner_02,CA,Android,Banner,Partner_D,3734,3515,905,811,23,1,3.44,277.0
2026-01-01 07:33:41.728434568,App_Alpha,Interstitial_01,IN,iOS,Rewarded,Partner_D,3505,3208,2018,1924,105,12,2.48,266.0
2026-01-01 07:36:15.523510470,App_Epsilon,Interstitial_01,UK,Android,Banner,Partner_C,4321,3483,1043,931,55,1,1.75,194.0
2026-01-01 07:38:49.318586371,App_Alpha,Banner_01,IN,Android,Banner,Partner_B,3973,3217,1730,1407,90,4,3.02,345.0
2026-01-01 07:41:23.113662273,App_Alpha,Interstitial_01,DE,iOS,Rewarded,Partner_E,8648,7356,1444,1291,93,11,4.91,622.0
2026-01-01 07:43:56.908738174,App_Gamma,Interstitial_02,BR,Android,Video,Partner_D,5808,5551,3445,3305,23,3,13.93,466.0
2026-01-01 07:46:30.703814076,App_Alpha,Interstitial_01,BR,Android,Interstitial,Partner_E,7343,7029,3218,2750,199,24,13.59,652.0
2026-01-01 07:49:04.498889977,App_Beta,Interstitial_01,US,Android,Interstitial,Partner_E,5967,5563,2540,2393,84,7,6.92,404.0
2026-01-01 07:51:38.293965879,App_Beta,Banner_02,CA,Android,Video,Partner_D,4630,3298,1548,1471,23,1,2.71,547.0
2026-01-01 07:54:12.089041780,App_Delta,Interstitial_01,US,Android,Video,Partner_A,7133,6391,3602,2962,199,6,2.35,424.0
2026-01-01 07:56:45.884117682,App_Epsilon,Banner_01,IN,Android,Video,Partner_A,7213,6428,3055,2562,90,2,5.61,782.0
2026-01-01 07:59:19.679193583,App_Alpha,Banner_02,CA,Android,Banner,Partner_A,2772,1860,638,518,26,0,2.16,486.0
2026-01-01 08:01:53.474269485,App_Alpha,Rewarded_01,IN,iOS,Interstitial,Partner_A,1745,1700,458,414,13,0,1.89,583.0
2026-01-01 08:04:27.269345386,App_Gamma,Interstitial_02,UK,Android,Video,Partner_A,8391,7721,1918,1811,135,1,1.86,631.0
2026-01-01 08:07:01.064421288,App_Beta,Interstitial_02,DE,iOS,Interstitial,Partner_B,3138,2992,1365,1121,11,1,2.79,508.0
2026-01-01 08:09:34.859497189,App_Epsilon,Rewarded_01,IN,Android,Rewarded,Partner_B,8596,6120,2216,1934,79,2,0.88,403.0
2026-01-01 08:12:08.654573091,App_Delta,Interstitial_01,IN,Android,Rewarded,Partner_D,8386,7871,5006,4362,332,36,4.16,125.0
2026-01-01 08:14:42.449648992,App_Beta,Banner_01,US,Android,Interstitial,Partner_B,4453,3204,636,598,4,0,0.71,492.0
2026-01-01 08:17:16.244724894,App_Delta,Banner_01,CA,Android,Rewarded,Partner_B,1155,779,149,144,9,0,0.33,130.0
2026-01-01 08:19:50.039800796,App_Gamma,Banner_01,DE,Android,Banner,Partner_E,3992,3111,1655,1450,98,10,7.13,533.0
